Date,Predictions
2020-12-13,172424.69086002393
2020-12-14,181431.8696863801
2020-12-15,190820.3764852106
2020-12-16,200600.9442261631
2020-12-17,210784.29505640207
2020-12-18,221381.11920188647
2020-12-19,232402.05286905926
2020-12-20,243857.65515970567
2020-12-21,255758.38401568466
2020-12-22,268114.57121432933
2020-12-23,280936.3964395173
2020-12-24,294233.8604577349
2020-12-25,308016.7574328781
2020-12-26,322294.6464180401
2020-12-27,337076.8220671034
2020-12-28,352372.28461358894
2020-12-29,368189.70916886296
2020-12-30,384537.41439649643
2020-12-31,401423.33062423376
2021-01-01,418854.9674596876
2021-01-02,436839.3809804849
2021-01-03,455383.1405741297
2021-01-04,474492.2955073108
2021-01-05,494172.34130871814
2021-01-06,514428.1860536519
2021-01-07,535264.1166427553
2021-01-08,556683.7651710745
2021-01-09,578690.0754873106
2021-01-10,601285.2700465698
2021-01-11,624470.8171630864
2021-01-12,648247.3987723051
2021-01-13,672614.8788142945
2021-01-14,697572.2723527513
2021-01-15,723117.7155457716
2021-01-16,749248.4365861224
2021-01-17,775960.72772992
2021-01-18,803249.9185333768
2021-01-19,831110.3504176073
2021-01-20,859535.3526813776
2021-01-21,888517.2200810958
2021-01-22,918047.1920963149
2021-01-23,948115.4339974663
2021-01-24,978711.0198305253
2021-01-25,1009821.9174307762
2021-01-26,1041434.9755747975
2021-01-27,1073535.9133762368
2021-01-28,1106109.3120268702
2021-01-29,1139138.6089798517
2021-01-30,1172606.0946669665
2021-01-31,1206492.911836092
2021-02-01,1240779.057588979
2021-02-02,1275443.3881928683
2021-02-03,1310463.6267324106
2021-02-04,1345816.3736608361
2021-02-05,1381477.1203013777
2021-02-06,1417420.265341575
2021-02-07,1453619.134354338
2021-02-08,1490046.002370531
2021-02-09,1526672.1195183625
2021-02-10,1563467.739735134
2021-02-11,1600402.1525468442
2021-02-12,1637443.7179008943
2021-02-13,1674559.904026678
2021-02-14,1711717.328288216
2021-02-15,1748881.800982267
2021-02-16,1786018.3720245357
2021-02-17,1823091.3804557754
2021-02-18,1860064.5066887473
2021-02-19,1896900.8274062711
2021-02-20,1933562.8730099353
2021-02-21,1970012.6875085654
2021-02-22,2006211.8907252704
2021-02-23,2042121.7426918554
2021-02-24,2077703.2100896735
2021-02-25,2112917.0345866107
2021-02-26,2147723.8029109216
2021-02-27,2182084.0184940826
2021-02-28,2215958.174506793
2021-03-01,2249306.8281046962
2021-03-02,2282090.6756934556
2021-03-03,2314270.6290164436
2021-03-04,2345807.891862588
2021-03-05,2376664.037186899
2021-03-06,2406801.084431831
2021-03-07,2436181.5768340677
2021-03-08,2464768.6584984795
2021-03-09,2492526.1510189236
2021-03-10,2519418.629424344
2021-03-11,2545411.497228165
2021-03-12,2570471.0603593923
2021-03-13,2594564.5997550506
2021-03-14,2617660.4423956694
2021-03-15,2639728.030568451
2021-03-16,2660737.989146491
2021-03-17,2680662.19067702
2021-03-18,2699473.818077026
2021-03-19,2717147.4247408267
2021-03-20,2733658.991871131
2021-03-21,2748985.982852891
2021-03-22,2763107.394497711
2021-03-23,2776003.8049957505
2021-03-24,2787657.418421918
2021-03-25,2798052.1056536078
2021-03-26,2807173.4415683006
2021-03-27,2815008.738400956
2021-03-28,2821547.0751532237
2021-03-29,2826779.3229590524
2021-03-30,2830698.166324235
2021-03-31,2833298.120170711
2021-04-01,2834575.5426300457
2021-04-02,2834528.64354431
2021-04-03,2833157.488646589
2021-04-04,2830463.999407459
2021-04-05,2826451.9485479216
2021-04-06,2821126.9512334764
2021-04-07,2814496.4519780925
2021-04-08,2806569.707300841
2021-04-09,2797357.764191741
2021-04-10,2786873.4344569435
2021-04-11,2775131.265026651
2021-04-12,2762147.504322093
2021-04-13,2747940.0647904063
2021-04-14,2732528.4817283214
2021-04-15,2715933.86852715
2021-04-16,2698178.868482569
2021-04-17,2679287.603323135
2021-04-18,2659285.618621254
2021-04-19,2638199.8262594636
2021-04-20,2616058.4441333152
2021-04-21,2592890.9332798114
2021-04-22,2568727.932627319
2021-04-23,2543601.191568985
2021-04-24,2517543.50056706
2021-04-25,2490588.620000034
2021-04-26,2462771.207468193
2021-04-27,2434126.743776063
2021-04-28,2404691.4578122166
2021-04-29,2374502.250548093
2021-04-30,2343596.6183778285
2021-05-01,2312012.5760205863
2021-05-02,2279788.5792055884
2021-05-03,2246963.447357918
2021-05-04,2213576.286500306
2021-05-05,2179666.4125824175
2021-05-06,2145273.2754448233
2021-05-07,2110436.383619703
2021-05-08,2075195.2301646036
2021-05-09,2039589.2197191408
2021-05-10,2003657.596967559
2021-05-11,1967439.3766824603
2021-05-12,1930973.2755169538
2021-05-13,1894297.6457038813
2021-05-14,1857450.4108117702
2021-05-15,1820469.0036977744
2021-05-16,1783390.3067881018
2021-05-17,1746250.5948063962
2021-05-18,1709085.480060239
2021-05-19,1671929.860385447
2021-05-20,1634817.8698371828
2021-05-21,1597782.83220614
2021-05-22,1560857.217427253
2021-05-23,1524072.6009375257
2021-05-24,1487459.6260288048
2021-05-25,1451047.969230564
2021-05-26,1378942.29596371
2021-05-27,1343302.5300239823
2021-05-28,1307972.535474701
2021-05-29,1272976.7429596449
2021-05-30,1238338.4729385136
2021-05-31,1204079.922395924
2021-06-01,1170222.154497317
2021-06-02,1136785.091140197
2021-06-03,1103787.508341208
2021-06-04,1071247.0343920698
2021-06-05,1039180.1507103698
2021-06-06,1007602.1953046522
2021-06-07,976527.3687671919
2021-06-08,945968.7427022521
2021-06-09,915938.2704925918
2021-06-10,886446.8003024079
2021-06-11,857504.0902108862
2021-06-12,829118.8253669991
2021-06-13,801298.6370531954
2021-06-14,774050.123543113
2021-06-15,747378.8726364734
2021-06-16,721289.4857528004
2021-06-17,695785.6034646034
2021-06-18,670869.9323501255
2021-06-19,646544.273045667
2021-06-20,622809.5493778664
2021-06-21,599665.8384571027
2021-06-22,577112.401614383
2021-06-23,555147.7160656584
2021-06-24,533769.5071894685
2021-06-25,512974.7813061062
2021-06-26,492759.85884911905
2021-06-27,473120.4078228839
2021-06-28,454051.4774431876
2021-06-29,435547.53186119813
2021-06-30,417602.48387489386
2021-07-01,400209.72853589465
2021-07-02,383362.17656371294
2021-07-03,367052.28748365614
2021-07-04,351272.102408971
2021-07-05,336013.2763922782
2021-07-06,321267.11027590086
2021-07-07,307024.58197529655
2021-07-08,293276.37713446375
2021-07-09,280012.9190968672
2021-07-10,267224.39814010216
2021-07-11,254900.79992718453
2021-07-12,243031.9331319647
2021-07-13,231607.4562007442
2021-07-14,220616.9032166649
2021-07-15,210049.70883785596
2021-07-16,199895.23228464072
2021-07-17,190142.78035530145
2021-07-18,180781.6294539793
2021-07-19,171801.04661823163
2021-07-20,163190.30953755652
2021-07-21,154938.72555784564
2021-07-22,147035.64967020394
2021-07-23,139470.50148589
2021-07-24,132232.78120227458
2021-07-25,125312.0845676775
2021-07-26,118698.11685573253
2021-07-27,112380.70586252921
2021-07-28,106349.81394220628
2021-07-29,100595.54909890122
2021-07-30,95108.17515502128
2021-07-31,89878.12101766787
2021-08-01,84895.98906673996
2021-08-02,80152.56268975818
2021-08-03,75638.81298979059
2021-08-04,71345.90469403366
2021-08-05,67265.20129161103
2021-08-06,63388.269429994645
2021-08-07,59706.882600150435
2021-08-08,56213.02414105108
2021-08-09,52898.8895946025
2021-08-10,49756.88844229421
2021-08-11,46779.6452550229
2021-08-12,43960.000287551746
2021-08-13,41291.00954896913
2021-08-14,38765.94438030197
2021-08-15,36378.29057013064
2021-08-16,34121.7470386519
2021-08-17,31990.224120147872
2021-08-18,29977.84147325398
2021-08-19,28078.925647780812
2021-08-20,26288.007336143277
2021-08-21,24599.818336690358
2021-08-22,23009.288255418214
2021-08-23,21511.54097169455
2021-08-24,20101.89089272867
2021-08-25,18775.83902059659
2021-08-26,17529.06885467892
2021-08-27,16357.442151397046
2021-08-28,15256.994562145801
2021-08-29,14223.931169322737
2021-08-30,13254.621939350614
2021-08-31,12345.597110585128
2021-09-01,11493.54253299818
2021-09-02,10695.294975532559
2021-09-03,9947.83741603867
2021-09-04,9248.294327734311
2021-09-05,8593.926975173958
2021-09-06,7982.128731779537
2021-09-07,7410.420430072274
2021-09-08,6876.445754856223
2021-09-09,6377.966688741692
2021-09-10,5912.859018561336
2021-09-11,5479.107910425971
2021-09-12,5074.803560390768
2021-09-13,4698.136926958035
2021-09-14,4347.395550929787
2021-09-15,4020.9594674428035
2021-09-16,3717.2972143713087
2021-09-17,3434.961940667776
2021-09-18,3172.5876176306692
2021-09-19,2928.8853555394803
2021-09-20,2702.639827581091
2021-09-21,2492.7058025080214
